ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT
1288	NdandaDenfap	to hold	tʃǐp	tʃǐp	tʃ ǐ/i p		2094	tʃ ǐ/i p -
1289	NdandaZua	to hold	ndì wɔ̀p	ndì_wɔ̀p	ⁿd ì/i + w ɔ̀/ɔ p		2094 2095	ⁿd ì/i - - + w ɔ̀/ɔ p
1290	Goshimjang	to hold	nì ʃìbì	nì_ʃìbì	n ì/i + ʃ ì/i b ì/i		2093 2094	n ì/i + ʃ ì/i b ì/i
1111	NdandaNyep	to hunt	ndʒǔk	ndʒǔk	ⁿdʒ ǔ/u k		2109	ⁿdʒ ǔ/u k
1112	NdandaShingou	to hunt	ndʒǔk	ndʒǔk	ⁿdʒ ǔ/u k		2109	ⁿdʒ ǔ/u k
1113	NdandaCaa	to hunt	ndʒǔk	ndʒǔk	ⁿdʒ ǔ/u k		2109	ⁿdʒ ǔ/u k
1114	NdandaMeno	to hunt	ndʒǔk	ndʒǔk	ⁿdʒ ǔ/u k		2109	ⁿdʒ ǔ/u k
1115	NdandaLek	to hunt	nə̀ táʔnɔ̀	nə̀_táʔnɔ̀	n ə̀/ə + t á/a ʔ n ɔ̀/ɔ		2107 2108	n ə̀/ə + t á/a ʔ n ɔ̀/ɔ
1116	NdandaNgwa	to hunt	ijɔ̌k	ijɔ̌k	i j ɔ̌/ɔ k		2110	i j ɔ̌/ɔ k
1117	NdandaTwefap	to hunt	ndʒǔk	ndʒǔk	ⁿdʒ ǔ/u k		2109	ⁿdʒ ǔ/u k
1118	NdandaDenfap	to hunt	ndʒɔ̌k	ndʒɔ̌k	ⁿdʒ ɔ̌/ɔ k		2109	ⁿdʒ ɔ̌/ɔ k
1119	NdandaZua	to hunt	ndì táʔɲɔ̀	ndì_táʔɲɔ̀	ⁿd ì/i + t á/a ʔ ɲ ɔ̀/ɔ		2109 2108	ⁿd ì/i - + t á/a ʔ ɲ ɔ̀/ɔ
1120	Goshimjang	to hunt	nì táʔɲɔ̀	nì_táʔɲɔ̀	n ì/i + t á/a ʔ ɲ ɔ̀/ɔ		2107 2108	n ì/i + t á/a ʔ ɲ ɔ̀/ɔ
1091	NdandaNyep	to kill	ʒwɨ̌	ʒwɨ̌	ʒʷ ɨ̌/ɨ		2121	ʒʷ ɨ̌/ɨ
1092	NdandaShingou	to kill	ʒwɨ̌	ʒwɨ̌	ʒʷ ɨ̌/ɨ		2121	ʒʷ ɨ̌/ɨ
1093	NdandaCaa	to kill	ʒǔ	ʒǔ	ʒ ǔ/u		2121	ʒ ǔ/u
1094	NdandaMeno	to kill	ʒwɨ̌	ʒwɨ̌	ʒʷ ɨ̌/ɨ		2121	ʒʷ ɨ̌/ɨ
1095	NdandaLek	to kill	nə̀ ʒwí	nə̀_ʒwí	n ə̀/ə + ʒʷ í/i		2122 2121	n ə̀/ə + ʒʷ í/i
1096	NdandaNgwa	to kill	ʒwɨ̌	ʒwɨ̌	ʒʷ ɨ̌/ɨ		2121	ʒʷ ɨ̌/ɨ
1097	NdandaTwefap	to kill	dʒwɨ̌	dʒwɨ̌	dʒʷ ɨ̌/ɨ		2123	dʒʷ ɨ̌/ɨ
1098	NdandaDenfap	to kill	ʒwə	ʒwə	ʒʷ ə/ə		2121	ʒʷ ə/ə
1099	NdandaZua	to kill	ndì ʒwí	ndì_ʒwí	ⁿd ì/i + ʒʷ í/i		2123 2121	ⁿd ì/i + ʒʷ í/i
991	NdandaNyep	to laugh	nʒwǐ	nʒwǐ	ⁿʒʷ ǐ/i		2134	ⁿʒʷ ǐ/i
992	NdandaShingou	to laugh	nʒwǐ	nʒwǐ	ⁿʒʷ ǐ/i		2134	ⁿʒʷ ǐ/i
993	NdandaCaa	to laugh	nʒwǐ	nʒwǐ	ⁿʒʷ ǐ/i		2134	ⁿʒʷ ǐ/i
994	NdandaMeno	to laugh	nʒwǐ	nʒwǐ	ⁿʒʷ ǐ/i		2134	ⁿʒʷ ǐ/i
995	NdandaLek	to laugh	nə̀ ʒwí	nə̀_ʒwí	n ə̀/ə + ʒʷ í/i		2133 2134	n - ə̀/ə + ʒʷ í/i
996	NdandaNgwa	to laugh	ɣǔ	ɣǔ	ɣ ǔ/u		2134	ɣ ǔ/u
997	NdandaTwefap	to laugh	ŋɣǔ	ŋɣǔ	ŋ ɣ ǔ/u		2133	ŋ ɣ ǔ/u
998	NdandaDenfap	to laugh	ɣǔ	ɣǔ	ɣ ǔ/u		2134	ɣ ǔ/u
999	NdandaZua	to laugh	ndì ʒwí	ndì_ʒwí	ⁿd ì/i + ʒʷ í/i		2135 2134	ⁿd ì/i + ʒʷ í/i
1000	Goshimjang	to laugh	nì ʒwí	nì_ʒwí	n ì/i + ʒʷ í/i		2133 2134	n - ì/i + ʒʷ í/i
1221	NdandaNyep	to lie	nɔ̂k	nɔ̂k	n ɔ̂/ɔ k		2148	n ɔ̂/ɔ k - - -
1222	NdandaShingou	to lie	nɔ̂k	nɔ̂k	n ɔ̂/ɔ k		2148	n ɔ̂/ɔ k - - -
1223	NdandaCaa	to lie	nɔ̌kʃǐ	nɔ̌kʃǐ	n ɔ̌/ɔ k ʃ ǐ/i		2148	n ɔ̌/ɔ k - ʃ ǐ/i
1224	NdandaMeno	to lie	nɔ̂k	nɔ̂k	n ɔ̂/ɔ k		2148	n ɔ̂/ɔ k - - -
1225	NdandaLek	to lie	nə̀ nɔ́ŋɔ́sé	nə̀_nɔ́ŋɔ́sé	n ə̀/ə + n ɔ́/ɔ ŋ ɔ́/ɔ s é/e		2149 2148	n ə̀/ə + n ɔ́/ɔ ŋ ɔ́/ɔ s é/e
1226	NdandaNgwa	to lie	nɔ̂kʃǐ	nɔ̂kʃǐ	n ɔ̂/ɔ k ʃ ǐ/i		2148	n ɔ̂/ɔ k - ʃ ǐ/i
1227	NdandaTwefap	to lie	nɔ̂kʃǐ	nɔ̂kʃǐ	n ɔ̂/ɔ k ʃ ǐ/i		2148	n ɔ̂/ɔ k - ʃ ǐ/i
1228	NdandaDenfap	to lie	nɔ̂kʃǐ	nɔ̂kʃǐ	n ɔ̂/ɔ k ʃ ǐ/i		2148	n ɔ̂/ɔ k - ʃ ǐ/i
1229	NdandaZua	to lie	ndì nɔ́ŋɔ́sé	ndì_nɔ́ŋɔ́sé	ⁿd ì/i + n ɔ́/ɔ ŋ ɔ́/ɔ s é/e		2150 2148	ⁿd ì/i + n ɔ́/ɔ ŋ ɔ́/ɔ s é/e
